col_phone_number;col_geometry;col_array;col_object;col_byte;col_short;col_integer;col_long;col_float;col_double;col_decimal;col_string;col_binary;col_boolean;col_timestamp;col_date;col_email;col_geopoint;col_zipcode;col_countries;col_states;col_ip_address
2124567890;POINT(2 3);[0]; {"age": 30,"city": "New York"};0.2;10;30;40;0.1;0.2; 0.3; str0; 0; true;2022-06-12 08:11:26.000001; 2022-05-12; mouhagaye2011@gmail.com;POINT(0.11111 0.03932);75018; Senegal;Alabam
212-456-7890;LINESTRING (1 1, 4 5, 7 9);[0]; {"age": 25,"city": "Los Angeles"};12;20;31;80;0.2;0.4; 0.6; str1; 2; false;2022-07-12 09:12:26.000001; 2022-05-11; mouhagaye2012@gmail.com;POINT(0.11111 0.03932);92110;Germany;Alabama
(212)456-7890;POLYGON ((0 0, 0 5, 5 5, 5 0, 0 0));[0]; {"col_1": 0};2;30;32;120;0.3;0.6;0.9; str2; 3; false; 2022-08-12 10:13:26.000001;2022-05-10 00:00:00.0; mouhagaye2013@gmail.com;POINT(0.11111 0.03932);63000;Germany;Alabama;2001:0db8:85a3:0000:0000:8a2e:0370:7334
(212)-456-7890;;[0, 1 ,2 , 3]; {"col_1": 0};3;40;33;160;0.4;0.8;1.2; str3; 4; true; 2022-09-12 11:14:26.000001;2022-05-09 00:00:00.0; mouhagaye2014@gmail.com;POINT(0.11111 0.03932);92800;Germany;Alabama;
212.456.7890;;[0, 1 ,2 , 3]; {"col_1": 0};4;50;34;200;0.5;1;1.5; str4; 5; true; 2022-10-12 12:15:26.000001;2022-05-08 00:00:00.0; mouhagaye2015@gmail.com;POINT(0.11111 0.03932);93400;Germany;Alabama;
212 456 7890;;[0, 1 ,2 , 3]; {"col_1": 0};5;60;35;240;0.6;1.2;1.8; str5; 6; false; 2022-11-12 13:16:26.000001;2022-05-07 00:00:00.0; mouhagaye2016@gmail.com;POINT(0.11111 0.03932);75017;Germany;Alabama;
+12124567890;;[0, 1 ,2 , 3]; {"col_1": 0};6;70;36;280;0.7;1.4;2.1; str6; 7; true; 2022-12-12 14:17:26.000001;2022-05-06 00:00:00.0; mouhagaye2017@gmail.com;POINT(0.11111 0.03932);63037;Germany;Alabama;
+12124567890;;[0, 1 ,2 , 3]; {"col_1": 0};7;80;37;320;0.8;1.6;2.4; str7; 8; false; 2023-1-12 15:18:26.000001;2022-05-05 00:00:00.0; mouhagaye2018@gmail.com;POINT(0.11111 0.03932);75019;Japan;Alabama;
+1 212.456.7890;;[0, 1 ,2 , 3]; {"col_1": 0};8;90;38;360;0.9;1.8;2.7; str8; 9; true; 2023-2-12 16:19:26.000001;2022-05-04 00:00:00.0; mouhagaye2019@gmail.com;POINT(0.11111 0.03932);94800;Germany;Alabama;
+212-456-7890;;[0, 1 ,2 , 3]; {"col_1": 0};9;100;39;400;1;2;3; str9; 10; false; 2023-3-12 17:20:26.000001;2022-05-03 00:00:00.0; mouhagaye2020@gmail.com;POINT(0.11111 0.03932);93200;Germany;Alabama;
1-212-456-7890;;[0, 1 ,2 , 3]; {"col_1": 0};10;110;40;440;1.1;2.2;3.3; str10; 11; true; 2023-4-12 18:21:26.000001;2022-05-02 00:00:00.0; mouhagaye2021@gmail.com;POINT(0.11111 0.03932);93000;Germany;Alabama;
;;[0, 1 ,2 , 3]; {"col_1": 0};11;120;41;480;1.2;2.4;3.6; str11; 12; false; 2023-5-12 19:22:26.000001;2022-05-01 00:00:00.0; mouhagaye2022@gmail.com;POINT(0.11111 0.03932);92000;Germany;Alabama;
;;[0, 1 ,2 , 3]; {"col_1": 0};12;130;42;520;1.3;2.6;3.9; str12; 13; false; 2023-6-12 20:23:26.000001;2021-05-12 00:00:00.0; mouhagaye2023@gmail.com;POINT(0.11111 0.03932);33033;Germany;Alabama;
;;[0, 1 ,2 , 3]; {"col_1": 0};13;140;43;560;1.4;2.8;4.2; str13; 14; true; 2023-7-12 21:00:26.000001;2021-05-11 00:00:00.0; mouhagaye2024@gmail.com;POINT(0.11111 0.03932);44023;Germany;Alabama;
